host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782726305.288953,18:45:05.288,5307,55.975,29.36,1010.51,-0.413,-0.472,0.43,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289005,18:45:05.289,5308,55.984,29.36,1010.51,-0.413,-0.468,0.429,-0.123,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289015,18:45:05.289,5309,55.996,29.36,1010.51,-0.413,-0.464,0.429,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289022,18:45:05.289,5310,56.004,29.36,1010.51,-0.413,-0.451,0.322,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289029,18:45:05.289,5311,56.016,29.36,1010.51,-0.413,-0.447,0.322,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289364,18:45:05.289,5312,56.026,29.36,1010.51,-0.413,-0.444,0.322,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289373,18:45:05.289,5313,56.034,29.36,1010.51,-0.413,-0.441,0.321,-0.144,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289380,18:45:05.289,5314,56.045,29.36,1010.51,-0.413,-0.437,0.321,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289385,18:45:05.289,5315,56.055,29.36,1010.51,-0.413,-0.43,0.24,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289391,18:45:05.289,5316,56.064,29.36,1010.51,-0.413,-0.428,0.24,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.289396,18:45:05.289,5317,56.075,29.36,1010.51,-0.413,-0.425,0.24,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.397690,18:45:05.397,5318,56.084,29.36,1010.51,-0.413,-0.423,0.239,-0.153,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.397722,18:45:05.397,5319,56.095,29.36,1010.51,-0.413,-0.42,0.239,0.0,212.69,-1.56,-2.75,246,1,1,30.0
1782726305.397731,18:45:05.397,5320,56.105,29.36,1010.51,-0.413,-0.417,0.179,0.0,212.69,-1.56,-2.75,246,1,1,30.0
