host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782723830.046163,18:03:50.046,761,10.504,24.91,1011.8,0.005,0.009,0.205,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.046335,18:03:50.046,762,10.514,24.91,1011.8,0.005,0.011,0.205,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.046347,18:03:50.046,763,10.524,24.91,1011.8,0.005,0.014,0.205,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.046354,18:03:50.046,764,10.534,24.91,1011.8,0.005,0.016,0.205,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.046360,18:03:50.046,765,10.544,24.91,1011.8,0.005,0.015,0.154,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.046365,18:03:50.046,766,10.554,24.91,1011.8,0.005,0.017,0.154,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148585,18:03:50.148,767,10.564,24.91,1011.8,0.005,0.018,0.154,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148613,18:03:50.148,768,10.574,24.91,1011.8,0.005,0.02,0.154,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148622,18:03:50.148,769,10.584,24.91,1011.8,0.005,0.021,0.154,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148631,18:03:50.148,770,10.594,24.92,1011.8,0.005,0.019,0.115,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148637,18:03:50.148,771,10.604,24.92,1011.8,0.005,0.021,0.115,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148642,18:03:50.148,772,10.614,24.92,1011.8,0.005,0.022,0.115,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148961,18:03:50.148,773,10.624,24.92,1011.8,0.005,0.023,0.115,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148970,18:03:50.148,774,10.634,24.92,1011.8,0.005,0.024,0.115,0.0,0.0,0.0,0.0,255,1,1,30.0
1782723830.148976,18:03:50.148,775,10.644,24.92,1011.8,0.005,0.021,0.087,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.148981,18:03:50.148,776,10.654,24.92,1011.8,0.005,0.022,0.087,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.148986,18:03:50.148,777,10.664,24.92,1011.8,0.005,0.023,0.087,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.149185,18:03:50.149,778,10.674,24.92,1011.8,0.005,0.024,0.087,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.149193,18:03:50.149,779,10.684,24.92,1011.8,0.005,0.021,0.065,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.149198,18:03:50.149,780,10.694,24.92,1011.8,0.005,0.022,0.065,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.149203,18:03:50.149,781,10.704,24.92,1011.8,0.005,0.022,0.065,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.149208,18:03:50.149,782,10.714,24.92,1011.8,0.005,0.023,0.065,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.251386,18:03:50.251,783,10.724,24.92,1011.8,0.005,0.023,0.065,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.251411,18:03:50.251,784,10.734,24.92,1011.8,0.005,0.02,0.049,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.251417,18:03:50.251,785,10.744,24.92,1011.8,0.005,0.021,0.049,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.251423,18:03:50.251,786,10.754,24.92,1011.8,0.005,0.021,0.049,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.251428,18:03:50.251,787,10.764,24.92,1011.8,0.005,0.022,0.049,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.251433,18:03:50.251,788,10.774,24.92,1011.8,0.005,0.022,0.049,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.353735,18:03:50.353,789,10.784,24.92,1011.8,0.005,0.019,0.037,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.353768,18:03:50.353,790,10.794,24.92,1011.8,0.005,0.02,0.037,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.353775,18:03:50.353,791,10.804,24.92,1011.8,0.005,0.02,0.037,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.353781,18:03:50.353,792,10.814,24.92,1011.8,0.005,0.02,0.037,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.353787,18:03:50.353,793,10.824,24.92,1011.8,0.005,0.021,0.037,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.354102,18:03:50.354,794,10.834,24.92,1011.81,-0.189,-0.021,-0.941,0.0,0.0,0.0,0.0,255,2,1,30.0
1782723830.354110,18:03:50.354,795,10.844,24.92,1011.81,-0.189,-0.03,-0.941,0.0,0.0,0.0,0.0,255,2,1,30.0
1782723830.354116,18:03:50.354,796,10.854,24.92,1011.81,-0.189,-0.039,-0.941,0.0,0.0,0.0,0.0,255,2,1,30.0
1782723830.354121,18:03:50.354,797,10.864,24.92,1011.81,-0.189,-0.049,-0.941,0.0,0.0,0.0,0.0,255,2,1,30.0
1782723830.354126,18:03:50.354,798,10.874,24.92,1011.81,-0.189,-0.058,-0.941,0.0,0.0,0.0,0.0,255,2,1,30.0
1782723830.354131,18:03:50.354,799,10.884,24.92,1011.8,0.005,-0.053,0.269,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456341,18:03:50.456,800,10.894,24.92,1011.8,0.005,-0.05,0.269,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456366,18:03:50.456,801,10.904,24.92,1011.8,0.005,-0.048,0.269,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456375,18:03:50.456,802,10.914,24.92,1011.8,0.005,-0.045,0.269,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456381,18:03:50.456,803,10.924,24.92,1011.8,0.005,-0.033,0.202,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456386,18:03:50.456,804,10.934,24.92,1011.8,0.005,-0.031,0.202,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456726,18:03:50.456,805,10.944,24.92,1011.8,0.005,-0.029,0.202,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456734,18:03:50.456,806,10.954,24.92,1011.8,0.005,-0.027,0.202,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456739,18:03:50.456,807,10.964,24.92,1011.8,0.005,-0.025,0.202,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456745,18:03:50.456,808,10.974,24.92,1011.8,0.005,-0.017,0.151,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456751,18:03:50.456,809,10.984,24.92,1011.8,0.005,-0.015,0.151,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.456757,18:03:50.456,810,10.994,24.92,1011.8,0.005,-0.014,0.151,0.0,0.0,0.0,0.0,255,0,1,30.0
1782723830.558837,18:03:50.558,811,11.004,24.92,1011.8,0.005,-0.012,0.151,0.0,0.0,0.0,0.0,255,0,1,30.0
